REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Massachusetts,2010,48,260,54,28787,False
States,Michigan,2010,48,88,49,15586,False
States,Minnesota,2010,48,51,18,5962,False
States,Mississippi,2010,48,829,44,16970,False
States,Missouri,2010,48,132,30,8422,False
States,Montana,2010,48,1,6,2628,False
States,Nebraska,2010,48,99,15,3516,False
States,Nevada,2010,48,325,34,11244,False
States,New Hampshire,2010,48,7,29,5043,False
States,New Jersey,2010,48,144,24,5536,False
States,New Mexico,2010,48,234,25,8197,False
States,New York,2010,48,244,105,15007,False
States,North Carolina,2010,48,170,77,25844,False
States,North Dakota,2010,48,18,17,5186,False
States,Ohio,2010,48,59,50,16878,False
States,Oklahoma,2010,48,64,16,2984,False
States,Oregon,2010,48,27,20,3759,False
States,Pennsylvania,2010,48,217,65,17952,False
States,Rhode Island,2010,48,51,21,6660,False
States,South Carolina,2010,48,37,22,7258,False
States,South Dakota,2010,48,62,19,5600,False
States,Tennessee,2010,48,106,54,13155,False
States,Texas,2010,48,1273,93,49607,False
States,Utah,2010,48,66,22,7873,False
States,Vermont,2010,48,52,12,3301,False
States,Virginia,2010,48,970,88,61726,False
States,Washington,2010,48,35,17,3565,False
States,West Virginia,2010,48,159,38,11434,False
States,Wisconsin,2010,48,71,49,5587,False
States,Wyoming,2010,48,29,28,4884,False
States,New York City,2010,48,2411,41,94844,False
States,Alabama,2010,49,656,37,11289,False
States,Alaska,2010,49,14,8,1755,False
States,Arizona,2010,49,517,53,24065,False
States,Arkansas,2010,49,44,17,4311,False
States,California,2010,49,1072,135,35077,False
States,Colorado,2010,49,154,12,19024,False
States,Connecticut,2010,49,23,11,3512,False
States,Delaware,2010,49,9,10,2492,False
States,District of Columbia,2010,49,100,4,3067,False
States,Florida,2010,49,442,111,26353,False
States,Georgia,2010,49,1685,62,37531,False
States,Hawaii,2010,49,42,18,1734,False
States,Idaho,2010,49,81,13,4702,False
States,Illinois,2010,49,732,79,39506,False
States,Indiana,2010,49,112,42,11790,False
States,Iowa,2010,49,28,10,2934,False
States,Kansas,2010,49,86,43,10381,False
States,Kentucky,2010,49,90,15,15032,False
States,Louisiana,2010,49,492,40,17541,False
States,Maine,2010,49,26,31,5974,False
States,Maryland,2010,49,153,20,9864,False
States,Massachusetts,2010,49,272,54,28114,False
States,Michigan,2010,49,85,52,15087,False
States,Minnesota,2010,49,37,17,6332,False
States,Mississippi,2010,49,878,46,16447,False
States,Missouri,2010,49,113,31,8246,False
States,Montana,2010,49,1,6,2782,False
States,Nebraska,2010,49,91,16,3696,False
States,Nevada,2010,49,394,35,12002,False
States,New Hampshire,2010,49,12,30,4858,False
States,New Jersey,2010,49,183,24,6896,False
States,New Mexico,2010,49,200,25,8605,False
States,New York,2010,49,303,103,14009,False
States,North Carolina,2010,49,132,75,21512,False
States,North Dakota,2010,49,11,18,4631,False
States,Ohio,2010,49,55,50,16060,False
States,Oklahoma,2010,49,51,15,2183,False
States,Oregon,2010,49,33,19,3367,False
States,Pennsylvania,2010,49,203,61,16584,False
States,Rhode Island,2010,49,42,21,6609,False
States,South Carolina,2010,49,29,20,5983,False
States,South Dakota,2010,49,64,19,5502,False
States,Tennessee,2010,49,122,50,11033,False
States,Texas,2010,49,1165,93,48474,False
States,Utah,2010,49,89,21,7640,False
States,Vermont,2010,49,48,14,4150,False
States,Virginia,2010,49,982,86,57786,False
States,Washington,2010,49,33,17,3421,False
States,West Virginia,2010,49,158,33,9957,False
States,Wisconsin,2010,49,70,46,5471,False
States,Wyoming,2010,49,20,27,4781,False
States,New York City,2010,49,2524,41,92454,False
States,Alabama,2010,50,1245,36,11930,False
States,Alaska,2010,50,21,9,1989,False
States,Arizona,2010,50,488,55,24178,False
States,Arkansas,2010,50,89,18,4227,False
States,California,2010,50,1170,128,31969,False
States,Colorado,2010,50,174,13,19299,False
States,Connecticut,2010,50,20,18,3033,False
States,Delaware,2010,50,12,13,4083,False
States,District of Columbia,2010,50,125,4,2886,False
States,Florida,2010,50,632,113,26563,False
States,Georgia,2010,50,2254,61,35755,False
States,Hawaii,2010,50,41,17,1632,False
States,Idaho,2010,50,54,12,3956,False
States,Illinois,2010,50,775,80,37787,False
States,Indiana,2010,50,98,41,10164,False
States,Iowa,2010,50,41,10,2736,False
States,Kansas,2010,50,84,41,9738,False
States,Kentucky,2010,50,77,13,12229,False
States,Louisiana,2010,50,450,34,13316,False
States,Maine,2010,50,20,29,5857,False
States,Maryland,2010,50,175,18,8713,False
States,Massachusetts,2010,50,316,55,28213,False
States,Michigan,2010,50,106,52,14027,False
States,Minnesota,2010,50,59,15,5081,False
States,Mississippi,2010,50,1529,48,17344,False
States,Missouri,2010,50,126,32,8936,False
States,Montana,2010,50,2,6,2588,False
States,Nebraska,2010,50,111,15,3429,False
States,Nevada,2010,50,440,33,10263,False
States,New Hampshire,2010,50,4,31,5640,False
States,New Jersey,2010,50,210,25,6561,False
States,New Mexico,2010,50,221,25,8115,False
States,New York,2010,50,357,102,13316,False
States,North Carolina,2010,50,119,74,18927,False
States,North Dakota,2010,50,6,11,1889,False
States,Ohio,2010,50,69,52,15455,False
States,Oklahoma,2010,50,111,17,3261,False
States,Oregon,2010,50,35,19,2509,False
States,Pennsylvania,2010,50,196,58,14447,False
States,Rhode Island,2010,50,30,21,6408,False
States,South Carolina,2010,50,41,17,5098,False
States,South Dakota,2010,50,51,19,5392,False
States,Tennessee,2010,50,121,51,8778,False
States,Texas,2010,50,1350,88,47519,False
States,Utah,2010,50,78,21,6993,False
States,Vermont,2010,50,50,14,3716,False
States,Virginia,2010,50,945,83,53894,False
States,Washington,2010,50,14,16,2162,False
States,West Virginia,2010,50,121,34,8545,False
States,Wisconsin,2010,50,31,50,4685,False
States,Wyoming,2010,50,15,28,4811,False
States,New York City,2010,50,3113,41,94881,False
States,Alabama,2010,51,1297,36,9910,False
States,Alaska,2010,51,15,8,1760,False
States,Arizona,2010,51,454,53,19716,False
States,Arkansas,2010,51,77,15,2132,False
States,California,2010,51,1057,127,22875,False
States,Colorado,2010,51,123,12,14757,False
States,Connecticut,2010,51,19,19,2175,False
States,Delaware,2010,51,13,11,2578,False
States,District of Columbia,2010,51,110,4,1907,False
States,Florida,2010,51,604,91,16469,False
States,Georgia,2010,51,2489,63,34195,False
States,Hawaii,2010,51,19,17,857,False
States,Idaho,2010,51,102,12,3182,False
States,Illinois,2010,51,1039,79,33621,False
States,Indiana,2010,51,100,41,7337,False
